Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,38,0,0,0,0,0,37,0,37,0.334,0,31.533,1.677,0,0.180,0.546,0.011,0.162,0.151,3519.126,4305.833,2432.348,3561.151,456.976
Track_1,1,18,0,0,0,0,0,17,0,17,1.012,1,24.674,0.427,0,0.267,0.547,0.000,0.275,0.150,3626.858,4927.437,2571.362,3666.857,568.289
Track_2,2,14,0,0,0,0,0,13,0,13,1.314,2,50.910,0.469,0,0.246,0.647,0.022,0.179,0.185,3171.290,4413.048,2144.220,3232.718,606.595
Track_3,3,28,0,0,0,0,0,27,0,27,2.032,3,16.883,1.179,0,0.313,0.879,0.000,0.288,0.242,3564.458,5014.040,2632.299,3516.223,551.733
Track_5,5,5,0,0,0,0,0,4,5,9,0.289,5,49.662,0.810,0,0.356,0.460,0.282,0.382,0.081,3705.002,4176.590,3146.527,3800.244,339.973
Track_6,6,32,0,0,0,0,0,31,1,32,0.664,6,44.261,0.566,0,0.300,0.526,0.042,0.269,0.163,3716.821,6309.274,2617.703,3435.371,926.883
Track_7,7,11,0,0,0,0,0,10,6,16,0.364,7,34.533,1.407,0,0.305,0.649,0.096,0.307,0.182,3794.843,4460.101,3303.746,3796.779,352.066
Track_8,8,14,0,0,0,0,0,13,0,13,1.541,8,32.929,2.073,0,0.293,0.626,0.060,0.271,0.168,3874.892,6422.339,2283.636,4105.811,1039.345
Track_9,9,8,0,0,0,0,0,7,2,9,1.028,9,11.095,1.724,0,0.302,0.523,0.116,0.354,0.138,2443.989,2892.854,2134.478,2488.474,226.694
Track_10,10,72,0,0,0,0,0,71,5,76,2.335,10,53.168,1.433,0,0.262,0.793,0.000,0.228,0.197,3638.768,5234.167,2813.897,3622.983,372.600
Track_11,11,10,0,0,0,0,0,9,0,9,0.581,11,32.386,1.453,0,0.252,0.397,0.132,0.220,0.089,3675.937,4371.831,2756.991,3794.115,463.305
Track_12,12,16,0,0,0,0,0,15,6,21,1.246,12,32.441,2.536,0,0.263,0.562,0.003,0.228,0.188,3711.368,4525.487,2885.333,3758.564,390.348
Track_13,13,10,0,0,0,0,0,9,0,9,0.316,13,30.910,2.097,0,0.292,0.440,0.163,0.272,0.088,3223.500,3889.088,2606.791,3307.757,351.170
Track_14,14,36,0,0,0,0,0,35,0,35,2.595,14,3.756,1.270,0,0.264,0.616,0.019,0.247,0.163,2927.249,3485.520,2071.302,2940.298,314.216
Track_15,15,11,0,0,0,0,0,10,1,11,0.920,15,35.214,0.464,0,0.321,0.764,0.108,0.291,0.197,4370.685,7580.695,2980.971,3904.915,1484.794
Track_17,17,38,0,0,0,0,0,37,6,43,1.569,17,10.681,17.375,0,0.255,0.625,0.053,0.238,0.128,3831.514,4737.341,2919.066,3837.254,414.370
Track_18,18,53,0,0,0,0,0,52,0,52,2.076,18,48.707,16.839,0,0.204,0.717,0.009,0.191,0.188,4204.935,5269.798,3143.950,4164.401,401.943
Track_19,19,46,0,0,0,0,0,45,0,45,3.680,19,52.993,17.446,0,0.295,0.718,0.007,0.258,0.215,3964.221,7072.448,2416.747,3909.144,991.770
Track_20,20,29,0,0,0,0,0,28,4,32,1.083,20,46.204,16.550,0,0.246,0.674,0.011,0.234,0.166,4320.873,5478.449,3470.337,4280.744,469.151
