Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,15,0,0,0,0,0,28,0,28,1.499,0,4.427,30.550,0,0.196,0.404,0.024,0.185,0.105,3792.495,4495.943,3184.826,3836.720,387.438
Track_1,1,13,0,0,0,0,0,24,0,24,1.745,1,2.776,30.830,0,0.220,0.423,0.032,0.249,0.117,3428.436,4193.355,3009.108,3313.471,315.144
Track_2,2,7,0,0,0,0,0,12,12,24,0.554,2,28.431,31.338,0,0.087,0.265,0.006,0.071,0.098,4361.547,5054.984,3754.811,4360.543,363.547
Track_3,3,18,0,0,0,0,0,34,0,34,2.391,3,47.544,31.719,0,0.207,0.414,0.055,0.205,0.114,4577.653,7572.474,3551.701,4488.504,1021.499
Track_4,4,10,0,0,0,0,0,18,0,18,1.357,4,54.028,30.979,0,0.183,0.322,0.042,0.181,0.087,4360.829,5057.323,3791.874,4282.082,381.043
Track_5,5,17,0,0,0,0,0,32,0,32,0.656,5,25.285,31.898,0,0.147,0.370,0.003,0.152,0.136,4539.956,5625.297,3771.113,4460.624,497.048
Track_6,6,15,0,0,0,0,0,28,0,28,2.276,6,27.314,31.964,0,0.218,0.449,0.046,0.223,0.113,4687.883,8251.298,2095.355,4745.781,1340.598
Track_7,7,4,0,0,0,0,0,6,14,20,0.188,7,20.462,32.051,0,0.126,0.158,0.066,0.153,0.052,2930.140,3372.557,2579.895,3119.483,329.206
Track_8,8,12,0,0,0,0,0,22,0,22,1.531,8,17.180,31.785,0,0.172,0.347,0.049,0.123,0.093,4439.254,4829.434,4018.788,4454.361,262.348
Track_9,9,47,0,0,0,0,0,92,6,98,1.248,9,33.309,32.145,0,0.204,0.474,0.046,0.190,0.121,4768.670,6907.008,3040.520,4767.275,568.402
